productType,name,description,categories,tax,slug,variantId,code basis,sku,,prices,uid,approved,size,colorCode,colorCodeName,codeFilterColor,codeFilterColorName,restricted,saleableOnStock,maxOrderQuantity,ean,gender,highlighted,new,piecesSold
clothing,NAWA-001,"<p>Dieses Modell aus der Red Bull Racing Eyewear Kollektion macht aus jeder Frau eine Lady. Die &uuml;bergro&szlig;e Form erinnert an den Chic von Audrey Hepburn und pa&szlig;t zu jedem Anlass &ndash; sei es nun Sport oder Fr&uuml;hst&uuml;ck bei Tiffany. Neben der edlen Optik punktet auch der superleichte, flexible und dennoch stabile Kunststoffrahmen. Die kratzfesten und entspiegelten Gl&auml;ser sorgen f&uuml;r optimale Sicht bei jeglichen Lichtverh&auml;ltnissen und sind durch ihre Spezialbeschichtung wasser-, &ouml;l- und schmutzabweisend. Im Lieferumfang enthalten sind ein Mikrofaser-Reinigunsbeutel und ein praktisches Sportetui.&nbsp; <br /><br />&bull;&nbsp;&nbsp;&nbsp; TR90 Grilamid Rahmen<br />&bull;&nbsp;&nbsp;&nbsp; Polycarbonat Gl&auml;ser<br />&bull;&nbsp;&nbsp;&nbsp; Oleophobe Beschichtung<br />&bull;&nbsp;&nbsp;&nbsp; 100% UV-Schutz bis 400nm (UVA, UVB, UVC)&nbsp; <br />&bull;&nbsp;&nbsp;&nbsp; Inklusive Reinigungsbeutel und Sportetui</p>",rbr-accessories-glasses,full-tax,sonnenbrille-nawa,1,RBR13242,M-111372,7195,EUR 71950,M-111372,YES,,9,black / other,9,,NO,YES,10, ,female,,YES,0
,NAWA-005,"<p>Dieses Modell aus der Red Bull Racing Eyewear Kollektion macht aus jeder Frau eine Lady. Die &uuml;bergro&szlig;e Form erinnert an den Chic von Audrey Hepburn und pa&szlig;t zu jedem Anlass &ndash; sei es nun Sport oder Fr&uuml;hst&uuml;ck bei Tiffany. Neben der edlen Optik punktet auch der superleichte, flexible und dennoch stabile Kunststoffrahmen. Die kratzfesten und entspiegelten Gl&auml;ser sorgen f&uuml;r optimale Sicht bei jeglichen Lichtverh&auml;ltnissen und sind durch ihre Spezialbeschichtung wasser-, &ouml;l- und schmutzabweisend. Im Lieferumfang enthalten sind ein Mikrofaser-Reinigunsbeutel und ein praktisches Sportetui.&nbsp; <br /><br />&bull;&nbsp;&nbsp;&nbsp; TR90 Grilamid Rahmen<br />&bull;&nbsp;&nbsp;&nbsp; Polycarbonat Gl&auml;ser<br />&bull;&nbsp;&nbsp;&nbsp; Oleophobe Beschichtung<br />&bull;&nbsp;&nbsp;&nbsp; 100% UV-Schutz bis 400nm (UVA, UVB, UVC)&nbsp; <br />&bull;&nbsp;&nbsp;&nbsp; Inklusive Reinigungsbeutel und Sportetui</p>",rbr-accessories-glasses,full-tax,sonnenbrille-nawa,2,RBR13242,M-111382,7795,EUR 77950,M-111382,YES,,47,purple,4,,NO,YES,10, ,female,,YES,0
clothing,Mission Jacket,"<p>Die tolle und stylische Red Bull Stratos Mission-Jacke f&uuml;r Frauen ist ein wahres Meisterst&uuml;ck!&nbsp; An der abnehmbaren Kapuze kommt die knallige Innenfarbe herrlich zu Geltung w&auml;hrend der Rest der Jacke durch fabelhafte Features wie Logostickereien von Red Bull Stratos und Zenith, Mission-Patch am rechten &Auml;rmel, Felix Baumgartner Label am linken Saum, Ton-in-Ton 502-Stickerei am R&uuml;cken und REDBULLSTRATOS.COM Stickschriftzug gl&auml;nzt. Besonders praktisch und stylisch sind die aufgesetzten Taschen mit Knopfverschluss, die von zus&auml;tzlichen Rei&szlig;verschlusstaschen an &Auml;rmeln und Vorderseite perfekt erg&auml;nzt werden. Die weibliche Silhouette wird durch einen gerafften G&uuml;rtel perfekt betont.&nbsp; Material: 100% Polyester, 100% Nylon<br /><br />&bull;&nbsp;&nbsp;&nbsp; Red Bull Stratos Pilotenjacke <br />&bull;&nbsp;&nbsp;&nbsp; Leuchtendes Innenfutter<br />&bull;&nbsp;&nbsp;&nbsp; Logostickerei Red Bull Stratos<br />&bull;&nbsp;&nbsp;&nbsp; Logostickerei Zenith<br />&bull;&nbsp;&nbsp;&nbsp; Mission-Patch<br />&bull;&nbsp;&nbsp;&nbsp; Felix Baumgartner Label<br />&bull;&nbsp;&nbsp;&nbsp; 502-Stickerei <br />&bull;&nbsp;&nbsp;&nbsp; Stickschriftzug REDBULLSTRATOS.COM<br />&bull;&nbsp;&nbsp;&nbsp; 3 aufgesetzte Taschen<br />&bull;&nbsp;&nbsp;&nbsp; 4 Rei&szlig;verschlusstaschen<br />&bull;&nbsp;&nbsp;&nbsp; Abnehmbare Kapuze<br />&bull;&nbsp;&nbsp;&nbsp; Geraffter G&uuml;rtel</p>",rst-women,full-tax,mission-jacket,1,RST13005,M-111159,14995,EUR 149950,M-111159,YES,S,7E,grün / sonstige,grün,,NO,YES,10, ,female,,YES,0
clothing,Mission T-Shirt,"<p>Rundhals T-Shirt mit sportiver Passform. Print des Red Bull Stratos Logo auf der linken und das Zenith Logo auf der rechten Brust. 502 Print auf dem rechten &Auml;rmel und coole Flugillustration auf der rechten Seite vorne. &bdquo;Mission to the edge of space&ldquo; bedrucktes Nackenband. 95% Baumwolle, 5% Elastan.</p>",rst-women,full-tax,mission-t-shirt,1,RST12002,M-108996,2995,EUR 29950,M-108996,YES,XS,3,white,3,,NO,YES,10, ,female,,YES,0
,Mission T-Shirt,"<p>Rundhals T-Shirt mit sportiver Passform. Print des Red Bull Stratos Logo auf der linken und das Zenith Logo auf der rechten Brust. 502 Print auf dem rechten &Auml;rmel und coole Flugillustration auf der rechten Seite vorne. &bdquo;Mission to the edge of space&ldquo; bedrucktes Nackenband. 95% Baumwolle, 5% Elastan.</p>",rst-women,full-tax,mission-t-shirt,2,RST12002,M-108997,2995,EUR 29950,M-108997,YES,S,3,white,3,,NO,YES,10, ,female,,YES,0
,Mission T-Shirt,"<p>Rundhals T-Shirt mit sportiver Passform. Print des Red Bull Stratos Logo auf der linken und das Zenith Logo auf der rechten Brust. 502 Print auf dem rechten &Auml;rmel und coole Flugillustration auf der rechten Seite vorne. &bdquo;Mission to the edge of space&ldquo; bedrucktes Nackenband. 95% Baumwolle, 5% Elastan.</p>",rst-women,full-tax,mission-t-shirt,3,RST12002,M-108999,2995,EUR 29950,M-108999,YES,L,3,white,3,,NO,YES,10, ,female,,YES,0
,Mission T-Shirt,"<p>Rundhals T-Shirt mit sportiver Passform. Print des Red Bull Stratos Logo auf der linken und das Zenith Logo auf der rechten Brust. 502 Print auf dem rechten &Auml;rmel und coole Flugillustration auf der rechten Seite vorne. &bdquo;Mission to the edge of space&ldquo; bedrucktes Nackenband. 95% Baumwolle, 5% Elastan.</p>",rst-women,full-tax,mission-t-shirt,4,RST12002,M-109000,2995,EUR 29950,M-109000,YES,XL,3,white,3,,NO,YES,10, ,female,,YES,0
clothing,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,1,RST12004,M-109012,4995,EUR 49950,M-109012,YES,XS,13,navy,1,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,2,RST12004,M-109013,4995,EUR 49950,M-109013,YES,S,13,navy,1,,NO,YES,10, ,female,,YES,0
,Mission Longsleeves, ,rst-women,full-tax,mission-longsleeve,3,RST12004,M-109014,4995,EUR 49950,M-109014,YES,M,13,navy,1,,NO,YES,10, ,female,,YES,0
